Information Gain Threshold,Accuracy
1,0.9883333333333333
2,0.91
3,0.8983333333333331
4,0.8816666666666665
5,0.9033333333333331
6,0.8816666666666665
7,0.8966666666666663
8,0.9216666666666664
9,0.8983333333333332
10,0.9049999999999996
11,0.8949999999999999
12,0.9216666666666666
13,0.8933333333333331
14,0.9166666666666664
15,0.8983333333333331
16,0.8950000000000001
17,0.9149999999999999
18,0.8983333333333332
19,0.8899999999999999
20,0.9033333333333332
21,0.9133333333333334
22,0.8783333333333333
23,0.8799999999999997
24,0.9016666666666663
25,0.9066666666666666
26,0.8916666666666665
27,0.8916666666666664
28,0.8916666666666668
29,0.8849999999999999
30,0.8983333333333331
31,0.9066666666666666
32,0.9166666666666665
33,0.8850000000000001
34,0.88
35,0.9066666666666666
36,0.923333333333333
37,0.875
38,0.883333333333333
39,0.8933333333333332
40,0.8833333333333333
41,0.9249999999999996
42,0.9066666666666665
43,0.8899999999999999
44,0.89
45,0.865
46,0.9066666666666665
47,0.8933333333333332
48,0.8816666666666667
49,0.9149999999999999
50,0.9016666666666665
51,0.8966666666666665
52,0.8966666666666667
53,0.8899999999999999
54,0.8949999999999998
55,0.8883333333333333
56,0.9066666666666664
57,0.8816666666666666
58,0.9033333333333332
59,0.875
60,0.9066666666666665
61,0.8916666666666668
62,0.8883333333333334
63,0.8999999999999998
64,0.9066666666666666
65,0.8849999999999999
66,0.8916666666666665
67,0.8966666666666664
68,0.9016666666666666
69,0.8783333333333333
70,0.8949999999999997
71,0.8800000000000001
72,0.8933333333333333
73,0.8916666666666667
74,0.8866666666666667
75,0.89
76,0.8966666666666665
77,0.9116666666666666
78,0.8999999999999999
79,0.8916666666666667
80,0.8999999999999999
81,0.9099999999999998
82,0.8849999999999999
83,0.9033333333333331
84,0.89
85,0.8816666666666665
86,0.9033333333333334
87,0.9066666666666667
88,0.9016666666666665
89,0.8866666666666666
90,0.8916666666666667
91,0.8833333333333332
92,0.8983333333333332
93,0.8949999999999998
94,0.9149999999999998
95,0.9116666666666665
96,0.9133333333333329
97,0.8966666666666665
98,0.8833333333333333
99,0.9033333333333332
100,0.9049999999999999
101,0.8833333333333333
102,0.8966666666666665
103,0.8733333333333332
104,0.8933333333333333
105,0.885
106,0.8966666666666666
107,0.8866666666666667
108,0.9049999999999998
109,0.8916666666666665
110,0.8833333333333331
111,0.8883333333333332
112,0.8933333333333331
113,0.8949999999999999
114,0.903333333333333
115,0.8833333333333332
116,0.8933333333333332
117,0.9
118,0.8716666666666666
119,0.9016666666666666
120,0.8716666666666666
121,0.885
122,0.9066666666666664
123,0.9083333333333333
124,0.8833333333333332
125,0.8716666666666665
126,0.8966666666666666
127,0.9066666666666664
128,0.8799999999999998
129,0.8949999999999998
130,0.8833333333333333
131,0.8983333333333334
132,0.8999999999999999
133,0.8816666666666666
134,0.9016666666666665
135,0.8933333333333333
136,0.9066666666666665
137,0.9199999999999998
138,0.8983333333333331
139,0.898333333333333
140,0.8983333333333334
141,0.8933333333333333
142,0.8933333333333332
143,0.8866666666666668
144,0.9133333333333333
145,0.8916666666666667
146,0.8866666666666666
147,0.9066666666666666
148,0.9066666666666664
149,0.8933333333333331
150,0.8783333333333334
151,0.8900000000000001
152,0.9016666666666665
153,0.8783333333333335
154,0.903333333333333
155,0.8983333333333333
156,0.8883333333333333
157,0.8833333333333333
158,0.8949999999999998
159,0.9083333333333332
160,0.9116666666666666
161,0.898333333333333
162,0.9033333333333331
163,0.88
164,0.8916666666666663
165,0.8999999999999998
166,0.8999999999999999
167,0.8816666666666665
168,0.8849999999999999
169,0.8966666666666665
170,0.8949999999999998
171,0.8883333333333334
172,0.8883333333333333
173,0.8883333333333332
174,0.8749999999999999
175,0.9099999999999998
176,0.9233333333333331
177,0.8933333333333332
178,0.8999999999999998
179,0.8900000000000002
180,0.8949999999999999
181,0.9016666666666667
182,0.8983333333333333
183,0.8883333333333332
184,0.9033333333333331
185,0.9016666666666663
186,0.9149999999999998
187,0.8749999999999998
188,0.9066666666666664
189,0.9066666666666666
190,0.8966666666666665
191,0.8933333333333333
192,0.8983333333333331
193,0.8816666666666663
194,0.8883333333333331
195,0.8833333333333332
196,0.8916666666666667
197,0.8883333333333333
198,0.8999999999999999
199,0.8666666666666666
